name,title,date,shade,rating,body
Covergirl: Clean Fresh Skin Milk Foundation,Didn’t get to try because......,"January 24, 2020",560 Medium,1,There were little hard pieces of something all throughout this. Not sure if I got a bad tube or what.
Covergirl: Clean Fresh Skin Milk Foundation,Healthy Coverage,"December 6, 2019",520 Fair,4,"It’s a decent size tube that is a healthier option without parabens, sulfates, and phthalates. The top twist-opens and it squirts out with applied pressure from the tube. It is lightweight and covers very well!! It’s not drying. Good moisturizing liquid foundation. I have sensitive skin and it didn’t break my face out. I like that it has coconut and aloe, which is healing to skin. It did blur out my skin issues. My “before/after” photo shows a great reduction in redness. It was hard to blend out. I did apply this Fair 530 foundation with spot application method (after a thin layer over entire face/neck, I went back and applied a spot touch to the red spot by my jawline and allow to set for a minute before softly blending out). That means it is applied thicker, with layers, to my skin flaws. I could still see where the flaw was located, but it removed the redness so much that people would have to be very close to notice the skin issue. Covers well and stayed on during the workday."
Covergirl: Clean Fresh Skin Milk Foundation,You NEED this in your life!,"March 17, 2020",570 Medium/Tan,5,"I love this so so much! It's perfect for everyday makeup. I'm so glad I bought it, I don't have that issue with the ""granules"" on the foundation, it just smells kinda strange to me but nothing too crazy.It has more coverage than what I expected... you really need to work it into the skin with a brush first and then going with a beauty sponge because with a brush itself it'll leave marks.The shade Medium Tan looks slightly dark in the picture but is a perfect match for me.💕"
Covergirl: Clean Fresh Skin Milk Foundation,Big fan!,"January 5, 2020",550 Light/Medium,5,"This is essentially a tinted moisturizer. That being said, that’s exactly what I wanted and I really, really like this formula. This evens out my skin tone well, and makes my skin look dewy and fresh. The color is perfect and blends well. It goes on well with fingers or with a large foundation brush, and stays well. The only gripe I have with this is an underlying scent—it’s not terrible, and it fades, but it smells...strange. I can totally get over the smell because the product is what I was looking for, but may be a sticking point for others."
Covergirl: Clean Fresh Skin Milk Foundation,Lightweight good coverage,"May 18, 2020",560 Medium,3,"Love this foundation, i am a makeup artist and i don't like wearing heavy makeup in the summer. This foundation is very lightweight and moisturizing for my dry skin. The only complaint i have is that there are little weird pieces in the foundation i imagine is a natural build up of the product due to no formaldehyde or another ingredient to keep it from clumping. These pieces are harmless just can be annoying to pick out. I am wearing shade 560 in medium its perfect."
Covergirl: Clean Fresh Skin Milk Foundation,VERY Impressed.,"February 29, 2020",530 Fair/Light,5,"I'm all things CG since they went Leaping Bunny Certified. I was hesitant to try this ONLY because it's light coverage and I have always worn at least medium. I actually dont mind that aspect at all. It's buildable if I wanted to apply a bit more to cover redness in the cheek area. So many good things about this foundation. It actually is long lasting and I don't use primer and have also went to the gym in it after work. Stayed on yet cleaned off nicely in the evening. Next--no transfer! I am surprised how well this stays put and just feels good on.I have always worn the ""X10"" series in color options. Classic Ivory in every covergirl foundation. This however, required that I use 530. I am fair and assumed 520 would do it, but it was too pale for my tone. I also appreciate how there was no oxidation--that orange hue that may occur. Probably because of the toxins removal or the lack of spf that may make my skin react?!?I live in a dry climate so the dewy affect took some time as the day went on, but it never appeared greasy or shiny on me. Overall, this is now my favorite and I hope it is never discontinued!"
Covergirl: Clean Fresh Skin Milk Foundation,Love it!,"February 6, 2020",510 Porcelain,5,"I'm not very knowledgeable when it comes to makeup, and I usually tend to wear very little because of this. This foundation is very light and doesn't feel cakey at all. My skin doesn't dry after using it, like it does with other foundations. It blends very easily and helps hide some spots that bug me. I highly recommend it!"
Covergirl: Clean Fresh Skin Milk Foundation,Watery but its great,"February 15, 2020",590 Tan/Rich,4,"I live and Florida and its always hot and stayed on all day but when I first put it on it felt so watery, other than that it was great."
Covergirl: Clean Fresh Skin Milk Foundation,Pressed powder shade light; inaccurate ingredients,"June 10, 2021",,4,"Wanted to provide some pictures for an idea of what the shade 'light' looks like. I have a light skin tone but this was a little too tan for me. I think the shade fair would have been better. This would probably work well as a light-application bronzer that you can build up, if you have fair to light skin. Also, an issue I had was with the listed ingredients. The ingredients shown on amazon are not accurate, with the real list being: mica, kaolin, zinc stearate, oat kernel flour, octyldodecyl Stearoyl stearate, tapioca starch, isopropyl palmitate, calcium silicate, dimethicone, water, 1,2-hexanediol, caprylyl glycol, phenoxyethanol, sorbitan sesquioleate, aloe barbadensis leaf juice, iron oxides (CI 77491, CI77492, CI77499), titanium dioxide (CI 77891) Very affordable, cruelty free, vegan, works as expected, but didn't appreciate the phenoxyethanol as well as not having the full ingredient list shown before buying"
Covergirl: Clean Fresh Skin Milk Foundation,WORKS WELL ON AGING SKIN TOO!,"April 24, 2021",520 Fair,5,"I like this foundation! I’m in my early 60’s, and need a semi matte foundation that evens my skin tone but doesn’t look like I have heavy makeup on. A foundation that is too dewy looks ridiculous on an older lady, but a foundation that is too heavy just builds up in existing wrinkles/lines, making them appear much worse than they are. This one is pretty good! It’s just a tad heavier than what works best for me, so I add a drop of ELF Hydration Drops to it before applying it to my face and the result is perfect! I get a very natural looking, evened out complexion that looks more like I'm not wearing makeup at all. The foundation is light weight, and goes on smoothly and easily.  The hydration drops would likely not be needed on younger skin at all, and probably not even for all older skin. But for me, adding one drop gives me the coverage and skin texture that is perfect for what I need. I highly recommend this foundation!"
